Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,class
153,102,0,192,0,888,943.1,3,4.782205536
265,111,86,195,6,833,790,28,41.540929
156,243,0,180,11,1022,698,28,37.36270444
200,0,0,180,0,1125,845,7,7.83934212
387,20,94,157,14.32,938,845,56,56.33708396
500,0,0,200,0,1125,613,3,26.0621928
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3,7.74971024
153,102,0,192,0,888,943.1,28,17.96429718
166.8,250.2,0,203.5,0,975.6,692.6,7,15.74832132
313,145,0,178,8,867,824,28,44.38846488
332.5,142.5,0,228,0,932,594,28,33.01900564
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.89607912
165,0,150,182,12,1023,729,28,18.0297974
212.07,0,121.62,180.31,5.69,1057.6,779.32,3,12.47262084
339,0,0,197,0,968,781,28,32.03994972
289,0,0,192,0,913.2,895.3,7,14.5968964
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.30651713
446,24,79,162,10.3,967,712,56,54.76507868
295.8,0,0,185.7,0,1091.4,769.3,28,25.21689522
277.05,0,97.39,160.6,11.83,973.9,875.61,3,23.13881456
350,0,0,186,0,1050,770,7,20.27748916
237.5,237.5,0,228,0,932,594,7,26.25800398
194.68,0,100.52,170.17,7.48,998,901.8,56,43.38872468
305.3,203.5,0,203.5,0,965.4,631,90,54.59891496
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42357812
525,0,0,189,0,1125,613,3,33.79811352
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.69964844
424,22,132,168,8.92,822,750,56,74.36491146
297.16,0,117.54,174.8,9.52,1022.8,753.45,28,47.401475
339,0,0,185,0,1060,754,28,31.6469484
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.0662497
254,0,0,198,0,968,863,3,9.307926
387,20,94,157,13.93,938,845,28,46.68441996
194.68,0,100.52,165.62,7.48,1006.4,905.9,28,25.72434956
194.68,0,100.52,165.62,7.48,1006.4,905.9,56,33.96358776
116,173,0,192,0,909.8,891.9,28,22.34798559
202,11,141,206,1.72,942,801,28,21.96670536
362.6,189,0,164.9,11.6,944.7,755.8,7,55.89581932
102,153,0,192,0,887,942,7,7.675936308
331,0,0,192,0,879,825,3,13.52062436
165,0.02,143.57,163.81,0,1005.6,900.9,3,14.39625888
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.79827342
375,93.8,0,126.6,23.4,852.1,992.6,3,28.99936056
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.79577532
310,0,0,192,0,970,850,28,27.923778
255,0,0,192,0,889.8,945,28,18.74616296
136,162,126,172,10,923,764,28,29.06830816
285,190,0,163,7.6,1031,685,28,53.57917996
203.5,305.3,0,203.5,0,963.4,630,28,41.68434001
322,0,0,203,0,974,800,14,20.77391188
122.6,183.9,0,203.5,0,958.2,800.1,3,3.31982694
200,133,0,192,0,965.4,806.2,3,11.41427518
153,145,113,178,8,867,824,28,26.22766704
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89478012
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
200,0,0,180,0,1125,845,28,12.24509376
212.52,0,100.37,159.32,8.71,1007.8,903.59,14,26.31040416
491,26,123,201,3.93,822,699,56,61.85584685
251.37,0,118.27,188.45,5.75,1028.4,757.73,14,29.93015316
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,28,38.20386516
190.34,0,125.18,161.85,9.88,1088.1,802.59,56,38.56239268
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.497622
475,118.8,0,181.1,8.9,852.1,781.5,3,37.79707432
424,22,132,168,8.92,822,750,3,32.10988228
298,0,107,164,13,953,784,28,35.85964676
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14,30.38520732
